temperature_2m_max,temperature_2m_min,temperature_2m_mean,apparent_temperature_max,apparent_temperature_min,apparent_temperature_mean,precipitation_sum,rain_sum,windspeed_10m_max,windgusts_10m_max,winddirection_10m_dominant,shortwave_radiation_sum,et0_fao_evapotranspiration,relative_humidity_2m_max,relative_humidity_2m_min,relative_humidity_2m_mean,dewpoint_2m_mean,pressure_msl_mean,cloudcover_mean,date,temperature_2m_mean_7d_avg,temperature_2m_mean_3d_avg,windspeed_10m_max_7d_avg,windspeed_10m_max_3d_avg,relative_humidity_2m_mean_7d_avg,relative_humidity_2m_mean_3d_avg,precipitation_sum_7d_avg,precipitation_sum_3d_avg,shortwave_radiation_sum_7d_avg,shortwave_radiation_sum_3d_avg,cloudcover_mean_7d_avg,cloudcover_mean_3d_avg,dewpoint_2m_mean_7d_avg,dewpoint_2m_mean_3d_avg,pressure_msl_mean_7d_avg,pressure_msl_mean_3d_avg,temp_range,humidity_range
31.0,22.4,26.1,32.6,26.0,28.7,0.5,0.5,17.7,38.2,157,15.55,3.84,94,47,73,20.5,1013.8,84,2024-01-24,25.47142857142857,25.933333333333337,16.342857142857145,16.966666666666665,73.71428571428571,74.66666666666667,0.1142857142857143,0.26666666666666666,17.25,16.176666666666666,38.42857142857143,61.666666666666664,19.82857142857143,20.566666666666666,1014.0428571428572,1014.4333333333334,8.600000000000001,47
30.5,21.4,25.7,34.8,25.1,29.3,1.8,1.8,11.4,20.2,116,16.18,3.56,98,54,78,21.3,1015.4,40,2024-01-25,25.642857142857142,25.933333333333334,15.971428571428572,15.83333333333333,74.57142857142857,75.33333333333333,0.37142857142857144,0.8666666666666667,16.86857142857143,16.256666666666664,41.0,56.0,20.228571428571428,20.833333333333332,1014.3714285714286,1014.5666666666666,9.100000000000001,44
32.1,22.0,26.0,33.9,24.6,28.4,0.2,0.2,17.2,35.3,102,17.54,4.1,93,38,73,20.1,1017.3,21,2024-01-26,25.75714285714286,25.933333333333334,15.557142857142855,15.43333333333333,74.71428571428571,74.66666666666667,0.4,0.8333333333333335,16.765714285714285,16.423333333333332,40.42857142857143,48.333333333333336,20.385714285714283,20.633333333333336,1014.9571428571428,1015.5,10.100000000000001,55
33.0,21.5,25.9,35.2,24.6,28.7,0.0,0.0,18.6,38.2,86,19.34,4.24,97,32,74,20.0,1017.2,45,2024-01-27,25.842857142857145,25.866666666666664,16.071428571428573,15.733333333333329,74.85714285714286,75.0,0.4,0.6666666666666666,16.994285714285716,17.686666666666667,43.857142857142854,35.333333333333336,20.457142857142856,20.46666666666667,1015.342857142857,1016.6333333333332,11.5,65
32.2,21.4,25.6,33.9,24.1,27.6,0.0,0.0,21.2,41.4,102,18.53,4.41,96,35,72,19.3,1017.1,61,2024-01-28,25.857142857142858,25.833333333333332,17.04285714285714,18.999999999999996,74.42857142857143,73.0,0.4,0.06666666666666667,17.16,18.47,50.285714285714285,42.333333333333336,20.342857142857145,19.8,1015.7571428571429,1017.1999999999999,10.800000000000004,61
32.3,20.4,25.0,33.9,22.9,26.9,0.0,0.0,19.9,43.2,109,19.11,4.44,92,35,70,18.3,1016.5,85,2024-01-29,25.75714285714286,25.5,17.77142857142857,19.899999999999995,73.57142857142857,72.0,0.4,0.0,17.61285714285714,18.993333333333336,54.285714285714285,63.666666666666664,20.028571428571432,19.2,1015.9714285714286,1016.9333333333334,11.899999999999999,57
32.0,19.2,24.6,33.8,21.5,26.6,0.0,0.0,16.5,34.6,115,20.16,4.49,95,34,71,18.0,1015.5,30,2024-01-30,25.557142857142857,25.066666666666666,17.5,19.199999999999996,73.0,71.0,0.3571428571428572,0.0,18.05857142857143,19.266666666666666,52.285714285714285,58.666666666666664,19.642857142857142,18.53333333333333,1016.1142857142858,1016.3666666666667,12.8,61
31.1,19.4,24.6,33.6,21.9,27.0,0.0,0.0,15.3,29.5,118,19.18,4.25,97,43,75,19.2,1015.1,14,2024-01-31,25.342857142857145,24.733333333333334,17.157142857142855,17.23333333333333,73.28571428571429,72.0,0.2857142857142857,0.0,18.577142857142857,19.483333333333334,42.285714285714285,43.0,19.457142857142856,18.5,1016.3000000000001,1015.7000000000002,11.700000000000003,54
31.5,21.0,25.7,33.8,23.8,28.6,0.1,0.1,15.3,31.3,128,17.5,4.06,96,46,77,20.7,1014.9,70,2024-02-01,25.342857142857145,24.96666666666667,17.714285714285715,15.699999999999998,73.14285714285714,74.33333333333333,0.042857142857142864,0.03333333333333333,18.76571428571429,18.94666666666667,46.57142857142857,38.0,19.37142857142857,19.3,1016.2285714285715,1015.1666666666666,10.5,50
32.1,21.8,26.5,35.1,25.7,30.1,0.8,0.8,14.4,31.7,138,16.75,3.93,98,48,78,21.8,1014.4,74,2024-02-02,25.414285714285715,25.600000000000005,17.314285714285713,14.999999999999998,73.85714285714286,76.66666666666667,0.1285714285714286,0.3,18.65285714285714,17.810000000000002,54.142857142857146,52.666666666666664,19.614285714285717,20.566666666666666,1015.8142857142858,1014.8000000000001,10.3,50
