,AUC,Prec@5%,Prec@10%,Prec@20%,Lift@5%,Lift@10%,Lift@20%,R²,best_iter,n_estimators,learning_rate
"Baseline (71f, full-yr) | Ridge (derived)",0.6819787985865724,0.2,0.12903225806451613,0.20967741935483872,2.1517241379310343,1.3882091212458285,2.2558398220244715,0.025943832449633275,,,
Exp2a Reduced (full-yr) | XGBoost,0.434507128061411,0.06666666666666667,0.12903225806451613,0.06451612903225806,0.7172413793103448,1.3882091212458285,0.6941045606229143,,,,
"Exp4b XGB-tuned (seasonal) | XGB d2 full (lr=0.05, n=173)",0.42122578286828316,0.06666666666666667,0.12903225806451613,0.06451612903225806,0.7172413793103448,1.3882091212458285,0.6941045606229143,,,173.0,0.05
Exp1+2 Seasonal+Reduced | LightGBM,0.41726574875106615,0.0,0.06451612903225806,0.06451612903225806,0.0,0.6941045606229143,0.6941045606229143,,,,
"Exp4a XGB-tuned (full-yr) | XGB d2 full (lr=0.01, n=997)",0.4149506518825393,0.0,0.03225806451612903,0.04838709677419355,0.0,0.34705228031145713,0.5205784204671857,,,997.0,0.01
Exp1+2 Seasonal+Reduced | XGBoost,0.4131838674302425,0.0,0.03225806451612903,0.06451612903225806,0.0,0.34705228031145713,0.6941045606229143,,,,
Exp1+2 Seasonal+Reduced | Logistic Reg,0.41196539539417576,0.06666666666666667,0.06451612903225806,0.12903225806451613,0.7172413793103448,0.6941045606229143,1.3882091212458285,,,,
Exp1 Seasonal (71f) | Ridge (derived),0.39892774460826125,0.26666666666666666,0.22580645161290322,0.12903225806451613,2.8689655172413793,2.4293659621802,1.3882091212458285,-0.6647499052472208,,,
Exp2a Reduced (full-yr) | LightGBM,0.38863165590349696,0.13333333333333333,0.12903225806451613,0.06451612903225806,1.4344827586206896,1.3882091212458285,0.6941045606229143,,,,
Exp4b XGB-tuned (seasonal) | XGB d2 lr=0.05,0.3876568782746436,0.0,0.0,0.06451612903225806,0.0,0.0,0.6941045606229143,,173.0,,
Exp4b XGB-tuned (seasonal) | XGB d2 lr=0.03,0.36548068721822835,0.0,0.03225806451612903,0.04838709677419355,0.0,0.34705228031145713,0.5205784204671857,,22.0,,
"Baseline (71f, full-yr) | LightGBM",0.36018033386133785,0.06666666666666667,0.12903225806451613,0.11290322580645161,0.7172413793103448,1.3882091212458285,1.2146829810901,,,,
Exp4b XGB-tuned (seasonal) | XGB d2 lr=0.01,0.3486657731205069,0.0,0.03225806451612903,0.06451612903225806,0.0,0.34705228031145713,0.6941045606229143,,21.0,,
Seasonal Rank Product | Weather-Only (Ridge),0.32185938832703787,0.13333333333333333,0.06451612903225806,0.03225806451612903,1.4344827586206896,0.6941045606229143,0.34705228031145713,,,,
